page_candidate,recommended_url,page_type,decision,page_value,score,business_fit,url_role,competitor_organic_rows,aggregate_search_volume_signal,best_competitor_position,clean_semrush_relevant_rows,research_base_evidence_rows,evidence_urls,keyword_examples,decision_rationale,cannibalization_rule,internal_linking_notes,schema_recommendation,proof_requirement
AI Solutions overview,/ai-solutions/,hub,launch,standalone-page,117,high,wing hub for custom AI work,116,50380,1,112,15,https://deviniti.com/services/custom-ai-agent-llm-agent-development/ | https://deviniti.com/blog/software-engineering/ai-development-services-guide/ | https://deviniti.com/blog/enterprise-software/best-ai-agent-development-companies/ | https://deviniti.com/services/generative-ai-consulting-services/ | https://deviniti.com/services/generative-ai-team-to-hire/ | https://www.effectivesoft.com/blog/top-ai-automation-companies.html | https://www.effectivesoft.com/blog/top-ai-consulting-companies-usa.html | https://www.effectivesoft.com/blog/top-generative-ai-consulting-companies.html,"custom ai agent development services (vol 170, pos 1) | generative ai implementation (vol 320, pos 7) | ai agent development solutions (vol 260, pos 9) | custom ai development agency (vol 50, pos 2) | ai agent development company (vol 1000, pos 16) | ai agent development solutions (vol 260, pos 10)","business/source bias 35 ; clean SEMrush relevant rows 112 ; competitor organic rows 116, aggregate volume 50380 ; top-10 competitor ranking signal ; research-base candidate evidence rows 15 ; high dotfun AI Solutions offer fit",Medium; use AI Solutions custom implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
Custom AI Agent Development,/ai-solutions/solutions/custom-ai-agent-development/,solution,launch,standalone-page,112,high,primary commercial solution page,44,9210,1,43,15,https://deviniti.com/blog/enterprise-software/best-ai-agent-development-companies/ | https://deviniti.com/services/custom-ai-agent-llm-agent-development/ | https://www.effectivesoft.com/ai-agent-development.html | https://appinventiv.com/ai-agent-development-services/ | https://appinventiv.com/blog/ai-agent-development-cost/ | https://www.npgroup.net/automation/ai-agent-development/ | https://tech.us/blog/top-ai-agent-development-companies-usa | https://tech.us/services/ai-agents-development,"ai development agency (vol 480, pos 2) | custom ai agent development services (vol 170, pos 1) | ai agent development solutions (vol 260, pos 9) | custom ai development agency (vol 50, pos 2) | ai dev agency (vol 50, pos 3) | ai agent development company (vol 1000, pos 16)","business/source bias 30 ; clean SEMrush relevant rows 43 ; competitor organic rows 44, aggregate volume 9210 ; top-10 competitor ranking signal ; research-base candidate evidence rows 15 ; high dotfun AI Solutions offer fit",High overlap with Iris; keep custom/build/implementation language explicit.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Workflow Automation,/ai-solutions/solutions/ai-workflow-automation/,solution,launch,standalone-page,99.6,high,commercial solution page,4,1630,1,5,15,https://www.effectivesoft.com/blog/top-ai-automation-companies.html | https://www.effectivesoft.com/ai-workflow-automation-optimization.html | https://appinventiv.com/blog/ai-agent-business-ideas/ | https://tech.us/blog/top-ai-development-companies-end-to-end-ai-services | https://www.npgroup.net/automation/,"[company name] ai automation initiatives (vol 480, pos 1) | ai workflow optimization (vol 170, pos 4) | ai automation agency competitors 2026 (vol 260, pos 8) | solo entrepreneur ai automation business ideas (vol 720, pos 6)","business/source bias 28 ; clean SEMrush relevant rows 5 ; competitor organic rows 4, aggregate volume 1630 ; top-10 competitor ranking signal ; research-base candidate evidence rows 15 ; high dotfun AI Solutions offer fit",High overlap with Iris; keep custom/build/implementation language explicit.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Systems Integration,/ai-solutions/solutions/ai-systems-integration/,solution,launch-candidate,standalone-page,49,high,implementation/integration solution page,0,0,,0,15,,,business/source bias 25 ; research-base candidate evidence rows 15 ; high dotfun AI Solutions offer fit,High overlap with Iris; keep custom/build/implementation language explicit.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Audit / AI Opportunity Assessment,/ai-solutions/solutions/ai-audit/,solution,launch-candidate,standalone-page,44,high,diagnostic/entry offer page,0,0,,0,15,,,business/source bias 20 ; research-base candidate evidence rows 15 ; high dotfun AI Solutions offer fit,Medium; use AI Solutions custom implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
Custom Iris Builds,/ai-solutions/solutions/custom-iris-builds/,solution,launch-candidate,standalone-page,37,high,bridge from Iris SaaS to custom services,0,0,,0,5,,,business/source bias 18 ; research-base candidate evidence rows 5 ; high dotfun AI Solutions offer fit,High overlap with Iris; keep custom/build/implementation language explicit.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Solutions for Sales,/ai-solutions/departments/sales/,department,phase-two-monitor,section-on-parent-or-resource,35,medium-high,department/workflow page,0,0,,0,15,,,business/source bias 14 ; research-base candidate evidence rows 15 ; medium-high offer fit,Department pages should link to Iris only when the use case is productized front-desk/CRM; otherwise keep custom AI implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Solutions for Operations,/ai-solutions/departments/operations/,department,phase-two-monitor,section-on-parent-or-resource,35,medium-high,department/workflow page,0,0,,0,15,,,business/source bias 14 ; research-base candidate evidence rows 15 ; medium-high offer fit,Department pages should link to Iris only when the use case is productized front-desk/CRM; otherwise keep custom AI implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Solutions for Marketing,/ai-solutions/departments/marketing/,department,no-page-now,no-page/monitor,25,medium,department/workflow page,0,0,,0,15,,,business/source bias 8 ; research-base candidate evidence rows 15 ; medium offer fit; validate proof,Department pages should link to Iris only when the use case is productized front-desk/CRM; otherwise keep custom AI implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Solutions for Finance,/ai-solutions/departments/finance/,department,no-page-now,no-page/monitor,25,medium,department/workflow page,0,0,,0,15,,,business/source bias 8 ; research-base candidate evidence rows 15 ; medium offer fit; validate proof,Department pages should link to Iris only when the use case is productized front-desk/CRM; otherwise keep custom AI implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
AI Solutions for Customer Support,/ai-solutions/departments/customer-support/,department,no-page-now,no-page/monitor,25,medium,department/workflow page,0,0,,0,15,,,business/source bias 8 ; research-base candidate evidence rows 15 ; medium offer fit; validate proof,Department pages should link to Iris only when the use case is productized front-desk/CRM; otherwise keep custom AI implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
LLM App Development,/ai-solutions/solutions/llm-app-development/,solution,no-page-now,no-page/monitor,19,medium,technical solution candidate,0,0,,0,7,,,business/source bias 5 ; research-base candidate evidence rows 7 ; medium offer fit; validate proof,Medium; use AI Solutions custom implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
RAG Development Services,/ai-solutions/solutions/rag-development/,solution,no-page-now,no-page/monitor,17,medium,technical solution candidate,0,0,,0,5,,,business/source bias 5 ; research-base candidate evidence rows 5 ; medium offer fit; validate proof,Medium; use AI Solutions custom implementation framing.,Link from /ai-solutions/ hub; cross-link to Iris feature/vertical pages only where productized Iris is the better next step; link to Growth Services only for GTM/marketing execution after build.,"Service + Organization + FAQPage; use SoftwareApplication only for Iris/product pages, not custom service pages.","Needs concrete dotfun AI Solutions proof, workflow examples, and implementation process before copywriting."
